# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,BNRIVEPAOP,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,48,25
# x,y,z,u,w
-5.374463290149603112e-02, 6.620491888937318770e-01, 5.082231279425138831e-03, 1.085106382978723305e+00, 1.875680585274343448e+00
-5.805069032336945822e-02, 6.616880198170391747e-01, 6.801097524266610898e-03, 1.085106382978723305e+00, 1.951584046726686061e+00
-5.976785118339412312e-02, 6.615439004229439757e-01, 8.821716385576479011e-03, 1.085106382978723305e+00, 2.000000000000000000e+00
-5.856969213692241050e-02, 6.616661042143706650e-01, 1.123023597118569250e-02, 1.085106382978723305e+00, 2.048415953273313939e+00
-5.437448303391236026e-02, 6.620396662650926967e-01, 1.340377057149700485e-02, 1.085106382978723305e+00, 2.124319414725656774e+00
-4.675621297446436175e-02, 6.626319947431571489e-01, 1.476046742494614358e-02, 1.085106382978723305e+00, 2.248378908561805556e+00
-3.496835846896205469e-02, 6.633585331007064712e-01, 1.431048815283509495e-02, 1.085106382978723305e+00, 2.437090193319866760e+00
-1.899676451069866323e-02, 6.639980728484009553e-01, 1.192771498630545990e-02, 1.085106382978723305e+00, 2.694931530939263631e+00
-2.827114620441104347e-04, 6.642552788772420058e-01, 7.999775287538896107e-03, 1.085106382978723305e+00, 3.000000000000000000e+00
1.827419908212726124e-02, 6.639917056787705274e-01, 3.382314840891753778e-03, 1.085106382978723305e+00, 3.305068469060736369e+00
3.385419183113308472e-02, 6.633733853898352573e-01, -8.784889979302898042e-04, 1.085106382978723305e+00, 3.562909806680132796e+00
4.519586929117635349e-02, 6.626955567074787057e-01, -4.173120754344982961e-03, 1.085106382978723305e+00, 3.751621091438194000e+00
5.262028642757385355e-02, 6.621479204861330237e-01, -6.421983402339361512e-03, 1.085106382978723305e+00, 3.875680585274343670e+00
5.714886807552696513e-02, 6.617735022746861206e-01, -7.832804211262161045e-03, 1.085106382978723305e+00, 3.951584046726686061e+00
5.976785473555254469e-02, 6.615439000999761010e-01, -8.821716912009834252e-03, 1.085106382978723305e+00, 4.000000000000000000e+00
5.980041128576567278e-02, 6.927207344429145985e-01, -8.643466830286583233e-03, 1.106382978723404076e+00, 0.000000000000000000e+00
5.706201678344927780e-02, 6.929561170582616558e-01, -8.717241364261482661e-03, 1.106382978723404076e+00, 4.841595327331393861e-02
5.242391685400646373e-02, 6.933278492922447800e-01, -8.563491191894484142e-03, 1.106382978723404076e+00, 1.243194147256564686e-01
4.483986153453396739e-02, 6.938667109064688976e-01, -8.256489210578582885e-03, 1.106382978723404076e+00, 2.483789085618058612e-01
3.329841913099948481e-02, 6.945231935259790212e-01, -7.663755561609216990e-03, 1.106382978723404076e+00, 4.370901933198670375e-01
1.752767781592197427e-02, 6.951027736521031564e-01, -6.616376966617393968e-03, 1.106382978723404076e+00, 6.949315309392636308e-01
-1.111605057307396777e-03, 6.953176572854338211e-01, -4.969671136521486114e-03, 1.106382978723404076e+00, 1.000000000000000000e+00
-1.968004568390630676e-02, 6.950282621874641631e-01, -2.672654054262908405e-03, 1.106382978723404076e+00, 1.305068469060736591e+00
-3.523322262698700552e-02, 6.944022813879511258e-01, 1.170150549388910324e-04, 1.106382978723404076e+00, 1.562909806680132796e+00
-4.645297814633521372e-02, 6.937361750024964024e-01, 2.881385904675917708e-03, 1.106382978723404076e+00, 1.751621091438194222e+00
-5.376437060855614875e-02, 6.932056142148469435e-01, 4.922063092377863130e-03, 1.106382978723404076e+00, 1.875680585274343448e+00
-5.807674836180994060e-02, 6.928592758873158841e-01, 6.628007579461228996e-03, 1.106382978723404076e+00, 1.951584046726686061e+00
